,Job Salary,Job Experience Required,Key Skills,Role Category,Functional Area,Industry,Job Title
0, Not Disclosed by Recruiter ,5 - 10 yrs, Media Planning| Digital Media,Advertising,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Media Planning Executive/Manager
1, Not Disclosed by Recruiter ,2 - 5 yrs, pre sales| closing| software knowledge| clients| requirements| negotiating| client| online bidding| good communication| technology,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer
2, Not Disclosed by Recruiter ,0 - 1 yrs, Computer science| Fabrication| Quality check| Intellectual property| Electronics| Support services| Research| Management| Human resource management| Research Executive,R&D,"Engineering Design , R&D","Recruitment, Staffing",R&D Executive
3,"2,00,000 - 4,00,000 PA.",0 - 5 yrs, Technical Support,Admin/Maintenance/Security/Datawarehousing,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Support Engineer
4, Not Disclosed by Recruiter ,2 - 5 yrs, manual testing| test engineering| test cases| web testing| web technologies,Programming & Design,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer
5,"7,00,000 - 17,00,000 PA.",5 - 7 yrs, adobe experience manager| digital| digital marketing| adobe analytics| data analytics| aem| adobe| sitecatalyst,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",System Analyst
6,"2,00,000 - 3,00,000 PA.",0 - 0 yrs, channel partners| real estate| negotiation| property| Residential Sales,Retail Sales,"Sales , Retail , Business Development","Real Estate, Property",Sales Executive/Officer
7, Not Disclosed by Recruiter ,9 - 14 yrs, TFS| Azure| Git| VSTS| Docker| DynaTrace| Splunk| AWS,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Architect
8, Not Disclosed by Recruiter ,2 - 7 yrs, Bde,Institutional Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer
9, Not Disclosed by Recruiter ,1 - 5 yrs, technical support| support services| application support| communication skills| voice based process| semi voice| semi voice process,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
10,"25,00,000 - 35,00,000 PA.",5 - 10 yrs, secretary| executive assistant| ea,Corporate Planning/Consulting/Strategy,"Strategy , Management Consulting , Corporate Planning","Courier, Transportation, Freight , Warehousing",Corporate Planning/Strategy Manager
11, Not Disclosed by Recruiter ,1 - 6 yrs, website| web analytics| xml| link building| google analytics| case studies| seo| social media| tracking| maintaining,Admin/Maintenance/Security/Datawarehousing,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Webmaster
12, Not Disclosed by Recruiter ,2 - 7 yrs, operations| workflow| tat| monitoring| mts| email,Operations,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Process Flow Analyst
13,Openings: 1,3 - 7 Years,Oracle IDAM|OIM|OAM,Programming & Design,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer
14,"3,50,000 - 5,00,000 PA.",2 - 4 yrs, digital marketing| seo| social media marketing| content marketing| email marketing| sem| google analytics| campaign management| facebook| media management,Online/Digital Marketing,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Social Media Marketing Manager
16, Not Disclosed by Recruiter ,2 - 7 yrs, Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management,Engineering Design,"Engineering Design , R&D","Industrial Products, Heavy Machinery",Senior Design Engineer
17, Not Disclosed by Recruiter ,3 - 7 yrs, Report Generation| Policies| analytical| procedures| Analysts| Data Entry| analytical skills,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Accounts Manager
18, Not Disclosed by Recruiter ,2 - 7 yrs,Copyright| Email| jQuery| XML| Javascript| CakePHP| Customer service| Open source| Facebook| CSS3,Programming & Design,"IT Software - eCommerce , Internet Technologies","Textiles, Garments, Accessories",Software Developer
19, Not Disclosed by Recruiter ,0 - 3 yrs, C#| MS Dynamics CRM| Microsoft Dynamics| ms dynamics,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
20,"1,00,000 - 3,25,000 PA.",3 - 7 yrs, sales manager| business development manager| relationship manager| brokers| insurance sales| channel sales| direct sale| direct marketing| sales| Marketing Executive| Territory Sales Manager,Retail/Personal Banking,"Financial Services , Banking , Investments , Insurance",Insurance,Sales Officer
21,"2,50,000 - 4,50,000 PA.",0 - 4 yrs, lead generation| business development| corporate sales,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
22, Not Disclosed by Recruiter ,2 - 5 yrs, contract management| closing| it services| relationship building| managed services| selling| market research| business development manager| sales,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
23,"2,00,000 - 3,00,000 PA.",2 - 5 yrs, QA Executive,QA/Testing/Documentation,IT Software - QA & Testing,"Pharma, Biotech, Clinical Research",Quality Assurance/Quality Control Executive
24, Not Disclosed by Recruiter ,6 - 8 yrs, Java EE| JMS| Core Java| JUnit| Weblogic| HTML| JPA| JSON| SOAP| SQL,Programming & Design,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer
25, Not Disclosed by Recruiter ,4 - 9 yrs, Conceptualization| Architecting| Continuous improvement| SIDE| development| Front end| it,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
26,"2,00,000 - 4,00,000 PA.",3 - 5 yrs, Articulate Storyline,Programming & Design,"IT Software - Application Programming , Maintenance","Animation, Gaming",Graphic/Web Designer
27, Not Disclosed by Recruiter ,7 - 12 yrs, Area Sales Management| Retail Sales| FMCG| Chocolate| confectionary| ASM| Area Sales Manager| area business manager,Retail Sales,"Sales , Retail , Business Development","FMCG, Foods, Beverage",Area Sales Manager
28, Not Disclosed by Recruiter ,4 - 9 yrs, C#| Java| OOP| C++| Multithreading| UML| OOAD| OOPS| .Net| debugging,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
